# This file is built from NewRisingSun's "NES and Famicom Accurate Cartridge Information Database"
# as available here: http://nerdlypleasures.blogspot.com/2020/04/the-nes-and-famicom-accurate-cartridge.html
# Last retrieved on 2020-05-24
# For now, I've just included the data for the US releases.

# Game Name A-Z, PRG-ROM, CHR-ROM, Misc ROM, Mapper, Mirror + Flag, PPU, PRG-RAM, PRG-RAM B, CHR-RAM, CHR-RAM B, Console, Controller, CRC32

# Licensed NA
# -----------
Castlevania II - Simon's Quest (USA).nes,128,128,0,1.00,H,RP2C02,0,0,0,0,Normal,Standard,C471E42D
Castlevania III - Dracula's Curse (USA).nes,256,128,0,5.00,H,RP2C02,0,0,0,0,Normal,Standard,ED2465BE
Caveman Games (USA).nes,128,128,0,1.00,H,RP2C02,0,0,0,0,Normal,Standard,D1EA84C3
Championship Bowling (USA).nes,32,32,0,3.02,V,RP2C02,0,0,0,0,Normal,Standard,EAC38105
Championship Pool (USA).nes,128,0,0,2.02,V,RP2C02,0,0,8K,0,Normal,Standard,CDC641FC
"Chessmaster, The (USA) (Rev 1).nes",128,32,0,1.00,H,RP2C02,8K,0,0,0,Normal,Standard,19F4CA6B
Chip 'n Dale - Rescue Rangers (USA).nes,128,128,0,1.00,H,RP2C02,0,0,0,0,Normal,Standard,8BF29CB6
Chip 'n Dale - Rescue Rangers 2 (USA).nes,128,128,0,1.00,H,RP2C02,0,0,0,0,Normal,Standard,FC5783A7
Chris Evert & Ivan Lendl in Top Players' Tennis (USA).nes,128,128,0,1.00,H,RP2C02,0,0,0,0,Normal,FourScore,F99E37EB
Chubby Cherub (USA).nes,32,8,0,0.00,V,RP2C02,0,0,0,0,Normal,Standard,77833016
Circus Caper (USA).nes,128,128,0,1.00,H,RP2C02,0,0,0,0,Normal,Standard,D152FB02
City Connection (USA).nes,32,32,0,3.02,V,RP2C02,0,0,0,0,Normal,Standard,AE8666B4
Clash at Demonhead (USA).nes,128,128,0,1.00,H,RP2C02,0,0,0,0,Normal,Standard,82AFA828
Classic Concentration (USA).nes,128,0,0,2.02,V,RP2C02,0,0,8K,0,Normal,Standard,A3C0D49F
Cliffhanger (USA).nes,128,128,0,4.00,H,RP2C02,0,0,0,0,Normal,Standard,57C2AE4E
Clu Clu Land (World).nes,16,8,0,0.00,H,any,0,0,0,0,Normal,Standard,48F68D40
Cobra Command (USA).nes,128,128,0,1.00,H,RP2C02,0,0,0,0,Normal,Standard,2D75C7A9
Cobra Triangle (USA).nes,128,0,0,7.01,H,RP2C02,0,0,8K,0,Normal,Standard,C8AD4F32
Code Name - Viper (USA).nes,128,128,0,4.00,H,RP2C02,0,0,0,0,Normal,Standard,E2313813
Color a Dinosaur (USA).nes,128,0,0,2.02,V,RP2C02,0,0,8K,0,Normal,Standard,0123BFFE
Commando (USA).nes,128,0,0,2.02,H,RP2C02,0,0,8K,0,Normal,Standard,82BE4724
Conan (USA).nes,128,0,0,2.02,H,RP2C02,0,0,8K,0,Normal,Standard,C6000085
Conflict (USA).nes,128,128,0,1.00,H,RP2C02,8K,0,0,0,Normal,Standard,32CF4307
Conquest of the Crystal Palace (USA).nes,128,128,0,4.00,H,RP2C02,0,0,0,0,Normal,Standard,20A5219B
Contra (USA).nes,128,0,0,2.02,V,RP2C02,0,0,8K,0,Normal,Standard,F6035030
Contra Force (USA).nes,128,128,0,4.00,H,RP2C02,0,0,0,0,Normal,Standard,A94591B0
Cool World (USA).nes,128,128,0,1.00,H,RP2C02,0,0,0,0,Normal,Standard,D73AA04C
Cowboy Kid (USA).nes,256,256,0,4.00,H,RP2C02,0,0,0,0,Normal,Standard,D18E6BE3
Crash 'n' the Boys - Street Challenge (USA).nes,128,128,0,4.00,H,RP2C02,0,0,0,0,Normal,Standard,C7F0C457
Crystalis (USA).nes,256,128,0,4.00,HB,RP2C02,0,8K,0,0,Normal,Standard,1335CB05
Cyber Stadium Series - Base Wars (USA).nes,128,128,0,4.00,HB,RP2C02,0,8K,0,0,Normal,Standard,F00584B6
Cyberball (USA).nes,128,128,0,4.00,H,RP2C02,0,0,0,0,Normal,Standard,88338ED5
Cybernoid - The Fighting Machine (USA).nes,32,32,0,3.02,V,RP2C02,0,0,0,0,Normal,Standard,AC8DCDEA
Dance Aerobics (USA).nes,64,32,0,1.00,H,RP2C02,0,0,0,0,Normal,PowerPadB,9E382EBF
Danny Sullivan's Indy Heat (USA).nes,128,0,0,7.02,H,RP2C02,0,0,8K,0,Normal,FourScore,C1B43207
Darkman (USA).nes,128,128,0,1.00,H,RP2C02,0,0,0,0,Normal,Standard,398B8182
Darkwing Duck (USA).nes,128,128,0,1.00,H,RP2C02,0,0,0,0,Normal,Standard,5DCE2EEA
